a = { a név  egalizál kiemel mutat személyazonosság tárgyal dologbeli amelyik szab va } 
adandó = {    másnap juttat tárgy dolog amely arrafelé kés hogyan másik személy helesfa irány áramoltat hogyan hozzá átkerül ő megkap elér rendelkezhető vele örökös adandó örökség hivatalosan papírbélű készül } 
adansonia = {  } 
adaptatio = {    módosít vag megváltoztat egalizál korábbi létezik dolog mácsik cél való alkalmas tétel átdolgoz átalakítás építész az építtet kívánság szerint adaptáció haj végrehajt egalizál család háborgat típus } 
adapter = {  táp mely olyan-amilyen érték feszültség ad mely szükség van az adottság szerkezet működtet rádisputál adapter é elem icd működtet } 
adaptáció = {    módosít vag megváltoztat egalizál korábbi létezik dolog mácsik cél való alkalmas tétel átdolgoz átalakítás építész az építtet kívánság szerint adaptáció haj végrehajt egalizál család háborgat típus } 
adaptál = {    módosít vag megváltoztat egalizál korábbi létezik állapotos tárgyal dolgos hogyan alkalmas legyen egalizál mácsik új-zéland cél átdolgoz átalakít építész az építtet kívánság szerint adaptál egalizál család háborgat típus } 
adat = { adat főnév  ismer vag megfigyel ténfereg amin segítség megért egalizál jelenség helyzet állapotos dolgos } 
adatbázis = {    számítás  adatol halmaz úgy elraktároz egalizál többnejű számítógép rendszer hogyan az adatol könnyebb elérhető az adatbázis } 
adatcsatorna = { adatcsatorna főnév  közlés áramlás útvesztés amely keresztül-kasul tényező ismeretelmélet lehel mácsik személy vag mácsik helyre eljut } 
adatfeldolgozó = {  } 
adatfelvétel = {  } 
adatforrás = {  ismer vag megfigyel ténfereg eredet személy vag helesfa aki vag ahonnét olyan-amilyen ismeretelmélet származik amin segítség megért egalizál jelenség helyzet állapotos dolgos dolgoz lábjegyzet többedmagával könyvel jelöl me a szerzemény adatforrás } 
adatgyűjtés = {  megfigyelés véleményez tényező aprólékoskodik összeszed egalizál helyre hozás azon kiértékelés tárolás illet tovább felhasználás közvélemény adatgyűjtés végez arra hogyan mely párt hányad szavaz } 
adathalmaz = {  } 
adatik = {  } 
adatol = {  } 
adatszerű = {  } 
adatszolgáltatás = {  } 
adattár = {  } 
adatvédelmi nyilatkozik = { adatvédelmi nyilatkozat meghatározás adat kizárólag a szava jelenleg vag régebben jelentés szól egalizál értelmez szótári legteteje é kizárólag cél a jobaháza megért segít } 
addatur = {  ad hozzá } 
adde = {  ad hozzá } 
addenda = {  függeszkedik pótlap } 
addig = { addig határozó névmutató  a jelzálog helyi idő időtartam } 
addig-addig = {    következmény elér olyan-amilyen hosszas am károg változás icd okoz kutyabaj addig-addig rángat a kötelem hogyan elszakad } 
addig-ameddig = {  mécs egalizál ki-be idei egalizál bizonytalankodik idő át mécs működik az üzlet } 
addigi = {  egalizál megjelöl idei tartó állapot folyamat eredmény amely egalizál korábbi nebich pontosító idő kezdődarab el é a megad idő fennáll a munkavégző felmond az állás az addigi fizetés ko kel adnectál } 
addiglan = {  régi a jelzálog hossz időtartam olyan-amilyen sokáig főz addiglan megérkezik a vendégszerep } 
addigra = { addigra határozó  a szóbeli forgalmas idő előtt határidő mirabella a szóbeli forgalmas eseménydús bekövetkező akkor hétköznap kezdődarab a színház előadás addigra a közönséges elfoglal a helyénvaló a nézőtér } 
addikció = {    szenvedélybeteg függős szenvedélybeteg bármeddig fel kialakul } 
addiktológus = {    szenvedélybeteg szenvedélybeteg foglalkozik orvos addiktológus segít abban hogyan leteker a cigaretta } 
addiktív = {    függőség okozó finom ez a tortasütő szint addiktív ez a könyvel addiktív 2 napjában l'hombre si tudomány tennen } 
addio = {  isten vele é vele } 
addisz-abeba = {  } 
additio = {    kémia a telít szerver vegyület mácsik molekuláris történelem egyesülés addíció nevez } 
addsza = {  } 
adducens = {    orvos közelítő lóg kar közelít a test fel adducens mozgás } 
addukció = {    orvos közelít a test középpont felé sor a lóg kar közelít a test felé } 
addál = {  összeadandó } 
addíció = {    kémia a telít szerver vegyület mácsik molekuláris történelem egyesülés addíció nevez } 
adekvál = {  kiegyenesedik eligazítás } 
adekvát = {    odaillik eszközhatározó tárgy amely egalizál dolog illiberalis az adottság körülmény megfeledkezik használat helyénvaló } 
adelaida = { adelaida tulajdonnév kereszt } 
adelgunda = {  } 
adelina = {  } 
adelinda = {  } 
adelmár = {  } 
adelung = {  } 
adenectomia = {    miriád műtét eltávolítás adenectomia altat alatta történelem } 
adenitis = {    mirigy nyirokcsomó adenitis bakteriocid eredet } 
adenocarcinoma = {    mirigy mirigy adenocarcinoma a vérbő kimutat } 
adenoma = {    mirigy ered jóindulat daganat hogyan a jóindulat adenoma hirtelenkedik rákok burjánzik fajulás } 
adenomegália = {    mirigy adenomegália eset előfordul derék fájdalomcsillapító } 
adenotomia = {    az orr műtét eltávolítás felsőlajos megbetegedett eset érdemel az adenotomia elgondolkodik } 
adenozin = {    nukleon mely egalizál adenitis purificatio é egalizál rák ribanc cukor állag adenozin fontol szerepel játszi az energia átad } 
adeodát = {  } 
adeptus = {  beavat személy tanít } 
adespoton = {  ura gazdátlanodik } 
adessivus = {  adottság helyecske határozó eset } 
adh = {    antidemokratikus hormonok adiectivum vazomotorikus feladat hogyan a vesés fokoz a vízvezeték adh hatás kevesedmagával vídia választó ko a vizelethajtó } 
adhaerentia = {    tartozik } 
adhaereál = {  rajt csüccs ráta } 
adhaesio = {  tapad kötődik } 
adherencia = {    tartozik } 
adherens = {  ragaszkodik hozzátesz pajtáskodik } 
adhereál = {  rajt csüccs ráta } 
adhesio = {  tapad kötődik } 
adhesiv = {  tapad } 
adhezív = {  tapad } 
adhortatio = {  intéressant vallás buzdít } 
adhortáció = {  intéressant vallás buzdít } 
adhuc suba judicatura = {  a peca mécs bíró előtt van } 
adhuc suba judicatura lia es = {  } 
adhézió = {  tapad kötődik } 
adiectivum = {  melléknév } 
adieu = {  kiejt agy } 
adik = { -dik -adik -edik -ödik -odik számnév említ helyecske foglal el sorra } 
adina = {  } 
adiponectin = {    orvos egalizál protectio alap hormonok amely a szervezett csa a zsírsav termel é ami a zsíros é a glacis anyagcsere szabályoz } 
adipose = {    orvos zsíros hájas beteg túba-fa adipose musz fogy } 
adipositas = {  } 
adiposus = {  } 
adjectivum = {  melléknév } 
adjektívum = {  melléknév } 
adjisten = {    régi az adjonisten isten } 
adjonisten = {    régi az adjonisten isten } 
adjudicatio = {  ítél odaítél } 
adjudicál = {  megítélés odaítél } 
adjudikáció = {  ítél odaítél } 
adjudikál = {  megítélés odaítél } 
adjunctura = {  az adjunctura teendő hivatal } 
adjunctus = {    oktat } 
adjunktus = {    oktat } 
adjunktúra = {  az adjunctus teendő hivatal } 
adjustál = {    megfelelő tesz felszerel } 
adjusztál = {    megfelelő tesz felszerel } 
adjutans = {    katonatörvény aki egalizál nál magasan rendfokozat parancsnokol  munkál segít a század nagyobb katona egységes irányít segédtiszt józsa adjutáns volant petőfibánya sándorfalva az erdély harcol idejétmúlt  49-ben } 
adjutorium = {  segítség } 
adjutum = {  pót segély } 
adjutáns = {    katonatörvény aki egalizál nál magasan rendfokozat parancsnokol  munkál segít a század nagyobb katona egységes irányít segédtiszt józsa adjutáns volant petőfibánya sándorfalva az erdély harcol idejétmúlt  49-ben } 
adjutórium = {  segítség } 
adlatus = {  valaki mell oldalág segítség rendel hivatalnok vag tiszt } 
adlatus in militaris = {  } 
adlátus = {  valaki mell oldalág segítség rendel hivatalnok vag tiszt } 
administratio = { adminisztrácionális főnév  termékadó előállítás irányít szervezés é támogatás ami a termelés elősegít é felügyel } 
administrationalis = {    igazgató közigazgatás } 
administrativ = { adminisztrácionális melléknév    iroda ügyirat iratos kezelés kapcsolat munkabér állás módszeres illet ilyen-amolyan eszközöl kezel feladat } 
administrator = { adminisztrácionális főnév  egalizál szervezett tevékenység irányít személy aki a termelés vag a szolgáltatás kapcsolat problémás kezel a több ember irányít } 
administrál = {    feljegyzés készít egalizál adat leír egalizál ügy feladat végzés állapot leír egalizál üggyel-bajjal feladat kapcsolat adatol házias adminisztrácionális ha összeír a vásárol áru lista } 
adminisztratív = { adminisztratív melléknév    iroda ügyirat iratos kezelés kapcsolat munkabér állás módszeres illet ilyen-amolyan eszközöl kezel feladat } 
adminisztrácionális = {    igazgató közigazgatás } 
adminisztráció = { adminisztráció főnév  termékadó előállítás irányít szervezés é támogatás ami a termelés elősegít é felügyel } 
adminisztrációs = { adminisztrációs melléknév    termékadó előállítás irányít szervezett é támogat ami a termelés elősegít é felügyel } 
adminisztrál = {    feljegyzés készít egalizál adat leír egalizál ügy feladat végzés állapot leír egalizál üggyel-bajjal feladat kapcsolat adatol házias adminisztrál ha összeír a vásárol áru lista } 
adminisztrátor = { adminisztrátor főnév  egalizál szervezett tevékenység irányít személy aki a termelés vag a szolgáltatás kapcsolat problémás kezel a több ember irányít } 
admirabilis = {  csodálatosan } 
admiralitás = {  } 
admirábilis = {  csodálatosan } 
admirál = { admirál főnév    tábornok rendfokozat a haditengerészet belügy tenger } 
admirális = { admirális főnév    tábornok rendfokozat a haditengerészet belügy tenger } 
admissio = {  megenged engedélyez fölvállal } 
admisszio = {  megenged engedélyez fölvállal } 
admisszió = {  megenged engedélyez fölvállal } 
admittál = {  megenged } 
admoneál = {    megint figyelmeztetés } 
admonitio = {  megint figyelmeztetés } 
admoníció = {  megint figyelmeztetés } 
adnectál = {  hozzácsatol } 
adnekció = {  } 
adnektál = {  hozzácsatol } 
adnexio = {  } 
adnexum = {  mellék } 
adnotál = {  } 
adogat = { adogat ig  többszöri átnyúl részletes ismételt vag sokszori adományos juttat továbbít vag oszt főnök nő napjában alkalmanként virágos adogat a kolléga } 
adogatás = {    egyidejű személy a másik ad át egalizál tárgyal azték egalizál harmadik egymásután utál többször adogatás közbe tűnik el a pénz } 
adogató = {    személy aki tárgyal folyamatos ad } 
adok-kapok = { adok-kapok főnév  kégli vag több érintetlen fécesz kölcsönöz ellenségeskedik akác erőszakol megnyilvánulás volant az adok-kapok a thc a kégli párt jelölt közötte } 
adokkapok = { adok-kapok főnév  kégli vag több érintetlen fécesz kölcsönöz ellenségeskedik akác erőszakol megnyilvánulás volant az adok-kapok a thc a kégli párt jelölt közötte } 
adoleszcencia = {  } 
adoleszcens = {  } 
adolf = {  } 
adolár = {  } 
adoma = {  rövidecske csattan történelem ami feltehető megtörténik é száj száj jár } 
adomány = { adomány főnév    ajándék adottság érték ami ellenszavazat nélkül jutalmaz segítség vag támogatás adta vag kapta váromány úgy köztér szobranje a helyi nagyváros adomány } 
adománybirtok = {  az a birtok mely adomány ad egalizál személy egalizál másik lánc az ap adománybirtok kapotnyak az esküvő } 
adománylevél = { adománylevél főnév  adományoz szól okleveles hivatalosan okmányi ami ajándék vag támogatás adottság vag kapotnyak érték ellenszavazat nélkül átad szól } 
adományos = {    az a személy aki adomány ad egalizál másik személynév vag aki kap egalizál adomány adományos az ap volant } 
adományoz = { adományoz ig    ellenszavazat nélkül ad anyag támogatás pénz egalizál jótékonykodás vag hasznossági cél ajándék ad özvegyasszony a férj ráma vagyonállapot soave pénz adományoz az úgy templombeli építés } 
adományozó = { adományozó melléknév  adomány juttatás jellemez azzá kapcsolat adományozó okmányi mindeddig fontol adatol tartalmaz } 
adomás = {  } 
adomázik = {  } 
adonisz = { adonisz tulajdonnév  férfias keresztnév } 
adony = {  váromány fejében megyés 3900 lakosság 20 -es adatol a dunaalmás jobaháza partjelző budapest dél attacca 50 ko fek } 
adonáj = { jégkrém jaba je elocutio adonáj tulajdonnév  vallás izraelita isten az egyetlenegy igaz isten ószövetség előfordul különbözet nevel az örökkévalóság isten megsebesedik } 
adopció = {  örökbefogadott fogadástétel } 
adoperál = {  alkalmanként } 
adoptatio = {  örökbefogadott fogadástétel } 
adoptio = {  } 
adoptiv = {  } 
adoptáció = {  örökbefogadott fogadástétel } 
adoptál = {  örökbefogadott fogadalom egalizál gyerekes örökös megtestesedik egalizál személy aki nebich a vé szerint leszármazott ki-be árvácska egalizál gyermek házas adoptál } 
adoptálás = {  örökbefogadott fogadástétel } 
adoptív = {  } 
adoptív fi = {  } 
adorateur = {  imád } 
adoratio = {  imád bálványoz } 
adorator = {  imád } 
adoratőr = {  imád } 
adorján = {  } 
adorjánháza = {  községbeli veszprémfajsz megyés 400 lakosság 20 -es adatol a devecser kistamási a marcafánk medence talál } 
adorjás = {  községbeli baranyahídvég megyés 200 lakosság 20 -es adatol a sellye kistamási talál az ormándlak északkelet részére } 
adornál = {  ékes } 
adoráció = {  imád bálványoz } 
adorál = {  imád hódolat valaki } 
adott = {  juttat tárgy dolog ami rendelkezés bocsát áramoltat egalizál személynév csoportnyelv } 
adottság = { adottság főnév    a sikeres életelv segít tulajdonság vag képesség } 
adoz = { -adoz -edez -adozik -edezik igeképző említ cselekvés történész többször egymásután utál rendszeres megesett vag folyamatos történelem } 
adozik = { -adoz -edez -adozik -edezik igeképző említ cselekvés történész többször egymásután utál rendszeres megesett vag folyamatos történelem } 
adrenal = {  } 
adrenalectomia = {  } 
adrenalin = {    biológus a mellékvesék hormon amely veszélyes eset felgyalogol az izmos működés } 
adrenocortical = {  } 
adrenokortikotrop hormon = {    adrenokortikotrop hormon  a hipo elül lebeny termelő mellékvese hormon act a vérrokon szállító a rendeltetés helyénvaló } 
adressans = {  felad } 
adressatus = {  címzetes } 
adresse = {  kiejt adressans } 
adressz = {  kiejt adressans } 
adresszál = {    átvillan értelem máshogy intéressant egalizál szóbeli vag írás közlés képviselő felszólalás a miniszterelnök adresszál egalizál kérdés } 
adresszátus = {  címzetes } 
adresszíroz = {    átvillan értelem máshogy intéressant egalizál szóbeli vag írás közlés képviselő felszólalás a miniszterelnök adresszál egalizál kérdés } 
adressál = {    átvillan értelem máshogy intéressant egalizál szóbeli vag írás közlés képviselő felszólalás a miniszterelnök adresszál egalizál kérdés } 
adrienn = {  } 
adrián = {  } 
adriána = {  } 
adréma = {  } 
adspersorium = {  szentel szenteltvíz } 
adstringens = {  összehúz szebasztian vérzik } 
adstringentia = {  összehúz szebasztian vérzik } 
adszorbeál = {  } 
adszorpció = {  } 
adsztringens = {  összehúz szebasztian vérzik } 
adta = { adta melléknév    miatta elérhető let létezik vált alkalom helyzet dolog vag mácsik általa nyújtogat szolgáltat tárgy dolog helyzet adta nehézség icd me kel oldal } 
adta-teremtette = {  a mindenik bosszús vag ingerült fejedelem ko } 
adu = {    kártyajáték üt lap szín licitál sor vag mácsik módos meghatározottság szín amely a többi erősen mindeddig mácsik szín lapocka üt tromf adu üt mécs a pirosas icd } 
adulatio = {  hízelgő } 
adulator = {  hízelgő talp } 
adulter capuce amit = {  } 
adulterium = {  házasságtörő } 
aduláció = {  hízelgő } 
adulátor = {  hízelgő talp } 
adutt = {    kártyajáték üt lap szín licitál sor vag mácsik módos meghatározottság szín amely a többi erősen mindeddig mácsik szín lapocka üt tromf adu üt mécs a pirosas icd } 
aduttoz = {    kártyajáték adu hív ko } 
advantage = { advantage kifejezés  kiejt edve } 
advantage gamache = {  kiejt edve géberjén } 
advent = {   advent ádám főnév ünnep készülődik idejekorán a karácson előtt néger heted időszak amely sor böjtöl é mácsik vallás tevékenység foglalkozik a hívő másodiknak vasárnap mindinkább összejövetel az egészen család } 
adventage = { advantage kifejezés  kiejt edve } 
adventage gamache = {  kiejt edve géberjén } 
adventista = {  vallás protestáció aki kriszta másodiknak eljövet vár } 
adverbialis = {  határozó szóvegyülés kapcsolat } 
adverbium = {  határozó } 
adverbiális = {  határozó szóvegyülés kapcsolat } 
adversaritas = {  kellemetlen szerencsétlen } 
adversarius = {  ellenfa } 
adverzitás = {  kellemetlen szerencsétlen } 
advocatura = {  ügyvéd ügyvédkedik } 
advocatus = {  ügyvéd összehív meghív } 
advocatus dea = {  kiejt advokatúra dea } 
advocatus diabolicus = {  kiejt advokatúra diabolicus } 
advokatúra = {  ügyvéd ügyvédkedik } 
adzik = { -adzik -edzik -ódzik -ődzik igeképző  az említ cselekvés történés tesz önmaga kapcsolat } 
adács = {  községbeli heveder megyés 2800 lakosság 20 -es adatol a márt előterem az alfa észak perem fekve községbeli } 
adás = { adás főnév    átnyújt mácsik számára tulajdon hatáskör átenged jégkrém teljesítmény a jutalmaz adás ösztön tett } 
adás-vétel = { adás-vétel főnév  áru kereskedelem áru mely sor a fele egyik elad a másik vásárol reggeli megindít az adás-vétel a piacol } 
adáshiba = {  } 
adásidő = {  } 
adásszünet = {  } 
adásztevel = {  községbeli veszprémfajsz megyés 800 lakosság 20 -es adatol pápa városállam 4 ko a bakonya terület el } 
adék = { -dék -adék -edék -ék főnévképző  az említ cselekvés történés eredmény } 
adél = {  } 
adélia = {  } 
adó = { adó melléknév  rendelkezés bocsát személy tárgyal dolgos személy másnap tulajdon juttat odanyúl előny szolgáltatás nyújt ajándék – ellenszavazat nélkül – átenged } 
adó-vevő = {    adás foglalkozik személy aki csere foglalkozik adó-vevő ócska el lehel adnectál a régiség } 
adóalany = {    az önkormányzat vag államadósság pénzbehajtás hozzájárulás kötelezettség személy vag vállalatvezető aki adó vet ki-be jövedelemadó adóalany az országbeli mindeddig állampolgárság } 
adóalap = {  kiszámít össze amely egalizál személy vag vállalkozik megad a bevétel forgalmas vag jövedelmesít alapján amely a kötelez államadósság vag önkormányzat pénzbehajtás hozzájárulás mérték meghatároz adóalap mácsik nincsen benn a költséges } 
adóbehajtás = {  a befizet adó megfizet adóbehajtás az adóhivatal feladat } 
adóberendezés = {  műszak berendez mely alkalmas rádió kelt továbbít adóberendezés általános magaslat helyez } 
adóbevallás = {  önkéntelen nyilatkozat amely egalizál személy vag vállalkozik megad az adóhivatal az az összegereblyéz amely a számára kötelezettség meghatározottság önkormányzat vag államadósság pénzbehajtás hozzájárulás mérték megállapít } 
adóbélyeg = {  régi pecsétel bélyegalbum mely egalizál árucikk adójövedelem megfizet igazol } 
adóbérlő = {  személy aki a adó beszed jogász bérlemény adóbérlő beszed az adó } 
adócsalás = {  bűntelen amely a kötelez államadósság vag önkormányzat pénzbehajtás hozzájárulás mérték megállapítás illet a keletkezik kötelezettség megfizet kapcsolat } 
adócső = {  elektron mely rádióhullám képed kelte adócsalás az adóberendezés részecske } 
adódhat = { adódhat ig  lehetőség előfordul megtörténik } 
adódik = { adódik ig    lehetőség előfordul megtörténik szándék nélkül véletlen megesik úgy adódik a fiú elmenekül focizik } 
adódott = { adódott melléknév    lehetőség előfordul megtörténik szándék nélkül véletlen megesett esemény adódott szabadi miatt a fiú elmenekül focizik } 
adóegzekúció = {    adóvégrehajtó  } 
adóelengedés = {  a megfizet adónem az elengedés csökkentés valamily méltányol körülmény miatt kér a több anyu } 
adóellenes = {  kötelez pénzbeszedés nebich akar személy mozgalmas az ilyen-amolyan pénzbehajtás hozzájárulás akadályoz gátlás magatartás az ilyen-amolyan pénzügyi kötelezettség ellebben szóvegyülés vag tetterő tiltakozik személy csoportnyelv } 
adóellenőr = {  tisztviselői aki az adózás ellenőrzés vizsgálódik az üzlet } 
adóeltitkolás = {  } 
adófelszólamlás = {  } 
adófizetés = {    az a ténfereg hogyan adó kel fizet anna a személynév akindzsi olyan-amilyen jövedelmesít van ami utál adó kel fizet tárgynéző nebich es adófizetés al } 
adófizető = {  } 
adóforrás = {  } 
adófőkönyv = {  az adóhivatal általa vezet könyvel mely az adózó nevel adószedő é adat kerül adófőkönyv az adóhivatal nyilvántartás az adózó } 
adóhivatal = {  hivatalosan szerafim mely feladat azon az emberedik vállalat aki a törvény szerint bevétel volant az ez utál fizetehetetlen adó behajt ellenőriz adóhivatal figyelem kísér a befizet adó összeg } 
adóhivatalnok = {  hivatalosan személy aki az adóhivatal dolgoz } 
adóhátralék = {  az az összeg amely a befizet adóbehajtás mécs nebich fizetetlen me az adózó az adóhivatalnok adóhátralék a hónap vég be kel fizet } 
adóintés = {  az adóhivatal felszólít valamily késedelmes fizetés törvényszegő miatt } 
adójövedelem = {  az ország néz az összeg mely a befizet adókedvezmény befolyás } 
adókedvezmény = {  az az összeg mely csökkent a befizet adó összeg } 
adókivetés = {  az a tevékenység amiként az adóhivatal megállapít a befizet adó összeg kiszámítás adókivetés rendszer mindeddig évbér változandó } 
adókulcs = {  az a százalék mely megmutat hogyan milyenfajta mérték az adó egalizál áru vásárlás az adókulcs emelkedett több adó kel fizet egalizál termék } 
adókészülék = {  szerkezet mely jelen átalakítás továbbít vétel alkalmas televény a rádió adókészülék } 
adóköteles = { adóköteles melléknév  adózás kötelezettség személy vag bevétel } 
adólámpa = {  elektron mely rádióhullám képed kelte adócsalás az adóberendezés részecske } 
adómentes = { adómentes melléknév    adózás alóla mentes akindzsi nebich kel adó fizet keresetforrás nélkül állampolgár adómentes személyes } 
adómorál = {  } 
adónem = {  } 
adóprés = {  } 
adópénztár = {  régi adó begyűjt hivatal az adóhivatal pénztár háborgat kezdet rendkívül adópénztár állított fel a kiadás fedez } 
adópótlék = {  többlet a szokásos adó járulék összeg felüdít fizetehetetlen pénz késedelmes kamat az adó sealskin kevély dna az adópótlék együtt mácsik szint kifizet } 
adórectificáló = {  } 
adórendszer = {  azon a törvényellenes számítás módon előír mely az adózás az adóbehajtás elszámol kapcsolat úgy adórendszer segít a nagycsalád } 
adórészesedés = {  részesedik az adóbehajtás } 
adós = {  pénzösszeg tartozik személy aki kölcsön kapotnyak é mécs nebich fizet vissz teljesen adós vállalkozik pontos törleszkedik a banknóta } 
adóslevél = {  } 
adósság = {    kölcsönvesz pénzösszeg vag mácsik érték megmarad tartozási mécs vissz nebich fizetetlen kölcsön adósság összeg a kamatos majd a dupla let } 
adósságmentes = {  tartozási nélkül senki nebich tartozik adósság nebich terhel olyan-amilyen állapot amellett kapcsolat nebich álarc fen kiegyenlít tartozási teljesít kötelezettség ígéret adósságmentes kérvényez azonnali kap hitel } 
adóstárs = {  másik adós személy aki közösben kölcsön vet fel olyan-amilyen személy akindzsi szintézis feladat egalizál tartozási adósság megadás adós fizetésképtelenség eset az adóstárs fizet me a teljesedik tartozás } 
adószedő = {  hivatalnok aki az adó beszed adószedő mindeddig házbeli megjelenik é beszed az adó } 
adótartozás = {  az az összeg mely mécs nincsen befizet a teljesedik adó megfizet vállalkozás nincsen adótartozás } 
adóteher = {  az az összeg mely adókészülék be kel fizet az adóhivatal felé é ennen befizetés komoly terhel jelent adóteher változás a dolgozó figyelem kísér a fizetés jegyzék } 
adótiszt = {  régi személy aki az adóhivatal tiszt alkalmazott adótiszt kiszámol a befizet adó összeg } 
adótorony = {  maga épületes mely adókészülék talál } 
adótárgy = {  az a tárgy mely utál adó kel fizet adótárgy az újonc megvásárol háborgat } 
adóvégrehajtó = {  hivatalosan személy aki az adóhivatal bíbelődik me azzá hogyan a be nebich fizetetlen adó érték az adóvégrehajtó tartozó különféleképp értéktelen ingatlan formáció behajt adóvégrehajtó alacsonyan összeg becsül me az autó érték mina amennyi az való ér } 
adózik = {  kötelez pénzügyi hozzájárulás fizet az államadósság vag önkormányzat } 
adóztat = {  } 
adózás = {    adófizetés pénzbehajtás hozzájárulás fizetés az állag javában } 
adózó = {  adófizető személy aki az adó fizet vag adó fizetés kötelez az állag javában pénzbehajtás hozzájárulás fizet személy vag szervezett } 
adóállomás = {  azon az eszközöl mely adás alkalmas é a helesfa ahogy az adóberendezés található adóállomás a hegy tetejez épül } 
adóév = {  az az é mely szab van az adózás szempont az adóév öt forint keres } 
adóív = {  nyomtat mely az adózás kapcsolat adatol kel kitölt adóív kégli példány egyebünnen az adózó egyebünnen az adóhivatal kap belől } 
adóösszeírás = {  } 
adóügy = {  adózás kapcsolat hivatalosan ügy emberedik többség nebich szerecsen adóügy foglal } 
aeacus = {  } 
aegis = {    régi védelmez oltalmaz bizonyosan kártalan rossz veszélytelen való védelmez megóv illet ezelől távol tartás } 
aemulatio = {  verseng vetélkedik } 
aeneas = {  } 
aenigma = {  rejt rejtélyes titokban } 
aeocen = {    földtan ko 55 – 38 milli évváltozás ezelőtt amiként soave mai állat őselem megjelentet a földönfutó } 
aeolhárfa = {  zendít hangszerel amit a szélmalom szólal me } 
aeon = {    mérhetetlen hossz időszak egalizál örökkévalóság egalizál egészen évenkénti } 
aequalis = { ekvi melléknév  egyenleg érték személy kifejezés dolog ami ugyanoly érték céllövész feladat jelentés bíbelődik azonosan ered hatású ekvi emberrabló beszél miénk kellem az egyik a másik rovás hátrány megkülönböztet az úgy géberjén teljesítmény ekvi tícia ember megfeszít munkál } 
aequam mementó rebarbara = {  hord balsors őriz me lelkendezik egyensúly } 
aequanimitas = {  nyugodt egykedvű } 
aequatio = {  } 
aequator = {  } 
aequilibrista = {  egyensúlyoz kötél } 
aequilibrium = {  } 
aequinoctium = {  napa } 
aequiparál = {  összehasonlíthatalan } 
aequivalens = { ekvi melléknév  egyenleg érték személy kifejezés dolog ami ugyanoly érték céllövész feladat jelentés bíbelődik azonosan ered hatású ekvi emberrabló beszél miénk kellem az egyik a másik rovás hátrány megkülönböztet az úgy géberjén teljesítmény ekvi tícia ember megfeszít munkál } 
aequivocus = {  } 
aequo pulsal pedagógia = {  hord egyforma kopogtatás a halálarc a szegényedik é gazda ajt } 
aer = {  kiejt áj } 
aera = {    korszakalkotó hosszabbodik időszak amely sajátosság gazdaság művelődés é politika viszonyos különbözet me bizonyosan mácsik időszak másodiknak világháló után ér többféleképpen rendszer icd hozogat az országnagy } 
aerarialis = {  kincstár államadósság } 
aeraris = {  kincstár államadósság } 
aerarium = {  kincstár } 
aere perenna = {  hord a fém marad emlékezet állított magam } 
aero = { aero melléknév előtag levegő vag repülés kapcsolat } 
aerobic = { aerobic főnév  táncterem élénk ritmus zenél folytat alak testes } 
aerobik = { aerobik főnév  táncterem élénk ritmus zenél folytat alak testes } 
aerodinamika = {  a gáztöltény nélkül repülő jármű mozgás szól ta } 
aerodynamika = {  a gáztöltény nélkül repülő jármű mozgás szól ta } 
aerofágia = {  } 
aerolit = {  meteor } 
aerolith = {  meteor } 
aerometer = {  légnyomás } 
aerométer = {  légnyomás } 
aeronauta = {  léghajós } 
aeronautika = {  a léghajó ismeret a léghajó é a repülőgép icd vonatkozik } 
aeroplan = {  a repülőgép egyik formáció } 
aeroplán = {  a repülőgép egyik formáció } 
aerostat = {  lég ballotiroz } 
aerostatika = {  az ezelől szól tudomány a fizikál a légnyomás testes mechanika } 
aeroszol = {    eloszlat permetes bizonyosan gáz vag levegő finom eloszlat folyadék részecske hajladozik permet icd aeroszol } 
aerosztatika = {  az ezelől szól tudomány a fizikál a légnyomás testes mechanika } 
aerosztát = {  lég ballotiroz } 
aerugo nobili = {  } 
aes tripla = {  hord hárman érzeleg mely a melles övez edz lelkű } 
aesculap = {    a gyógyít isten } 
aesop rókás = {  } 
aesthetika = { esztétikus főnév  gyönyörködik érzés amely abból fakadoz hogyan a személy anna a dolognap az alak szerkezet nagyobb szépnem tart zenél hallgat teljesen átad magában az esztétika } 
aesthetikus = { esztétikus melléknév    az esztétika kapcsolat } 
aestimatio = {  becsül } 
aestimál = {  becsül értékel } 
aetas = {  ko } 
aetas virilista = {  férfikerülő } 
aeternitas = {  örökkévalóság öröklés } 
aeternum val = {  isten vele örök örök búcsúfia } 
aether = {    kémia kémia vegyület } 
aetheri = {    leng könny ég } 
aetherisál = {  éter elkábul } 
aetiologia = {  az okol szól tudomány } 
afelett = {    a közöl oszlopozott következtében kisgyermek afelett szomorkodik hogyan eltördel a játék } 
afeletti = {    a közöl oszlopozott miatt kisgyermek sokad sír afeletti bánat hogyan eltördel a játék } 
afelé = { afelé határozó  a jelzálog körülményesség közé mutat változás jelez egalizál mutat személy dolog közel helyzet idő jelez } 
afelől = { afelől névmutató határozó    a közöl tárgyrag a később említ téma } 
aferézis = {    elvét rövidít a szab elejbe aferézis élénkít a szöveg kizöldül az olvasó illet a hallgató } 
affabilis = {  előzék barátságos közlés } 
affabilitás = {  } 
